Ship Name,Ship Type,GRT,Date,U-Boat,Loss Type,Position,Location,Route,Cargo,Casualties
General De Boisdeffre,Sailing vessel,2195,05/27/17,UC 70 (Werner FÃ¼rbringer),Sunk,about 70 miles W of Ushant,,Mejillones - Brest,nitrates,
General Du Temple,Dredger,585,08/19/17,UC 65 (Max Viebeg),Sunk,Mined off Cherbourg,"49° 43'N, 1° 34'W",,,7
General Laurie,Sailing vessel,238,06/09/17,U 72 (Ernst Krafft),Sunk,Stopped and scuttled 75 miles WxS of Marseilles,"42° 09'N, 5° 00'E",Bahia - Marseilles,cocoa beans,0
General Leman,Fishing vessel (smack),57,01/29/18,UB 55 (Ralph Wenninger),Sunk,Stopped and sunk by gunnery 14 miles SE of Beachy Head,"50° 21'N, 3° 10'W",,,0
General Radetzky,Steamer,2118,07/17/15,U 41 (Claus Hansen),Sunk,65 miles east of Lerwick,"60° 04'N, 1° 52'E",Arkhangelsk - London,timber,0
General Radiguet,Fishing vessel,24,03/01/17,UC 65 (Otto Steinbrinck),Sunk,Scuttled and sunk 2m. NNW of Cayeux,,,,0
Generale Ameglio,Sailing vessel,222,07/31/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,W of Sicily at 3:00pm,,,,
Genesee,Tanker,2830,01/01/18,UB 33 (Fritz Gregor),Damaged,Torpedoed off Flamborough Head,,Tyne - London,coal,0
Genevieve,Steamer,1598,01/16/18,U 55 (Wilhelm Werner),Sunk,Torpedoed 12 miles NW of St Ives,"50° 23'N, 5° 20'W",Rouen - Swansea,in ballast,1
Genista,Sailing vessel,1856,05/22/16,U 34 (Claus RÃ¼cker),Sunk,off Balearic Islands,"40° 37'N, 1° 47'E",Norfolk - Savona,coal,
HMS Genista,Sloop,1250,10/23/16,U 57 (Carl-Siegfried Ritter von Georg),Sunk,Torpedoed off the W Coast of Ireland,"51° 26'N, 13° 10'W",,,73
Gennarino,Sailing vessel,248,04/26/17,UC 27 (Gerhard Schulz),Sunk,Stopped and scuttled NE of Cap Bon,"37° 26'N, 11° 27'E",Tunis - Italy,phosphate,
Genova,Steamer,3486,07/27/17,U 33 (Gustav SieÃ),Sunk,"2 miles from Portofino, Gulf of Genoa","44° 18'N, 9° 15'E",,,
Geo,Steamer,3048,01/29/18,UC 53 (Kurt Albrecht),Sunk,"6 miles NxW of Cape Peloro, Sicily","38° 19'N, 15° 38'E",Naples - Tunis,in ballast,16
Georg,Sailing vessel,18,06/26/17,UC 57 (Friedrich WiÃmann),Sunk,Raumo-Wasa area,,,,
George & Mary,Sailing vessel,100,06/04/15,U 35 (Waldemar Kophamel),Sunk,Stopped and sunk by gunnery 15 miles SW of Eagle Island,,Tralee - Glasgow,scrap iron and lead,0
G. A. Savage,Steamer,357,03/11/17,UC 47 (Paul Hundius),Sunk,Off Pendeen Point. Sunk with al hands.,,Workington - Swansea,pitch,9
George Baker,Drifter,91,08/17/15,U 38 (Max Valentiner),Sunk,Stopped and sunk 45 miles N of Bishop Rock,,,,0
George Borrow,Fishing vessel (smack),62,08/11/15,UB 10 (Otto Steinbrinck),Sunk,Stopped and scuttled 15 miles ENE of Cromer,,,,0
George Crabbe,Fishing vessel (smack),42,08/11/15,UB 10 (Otto Steinbrinck),Sunk,Stopped and scuttled 15 miles 16 miles ExN of Cromer,,,,0
George E. Benson,Trawler,155,01/23/17,U 44 (Paul WagenfÃ¼hr),prize,Captured in the North Sea,,,,0
George G. Henry,Tanker,6936,09/29/18,U 152 (Adolf Franz),Damaged,Damaged by gunfire with several crewmembers injuried,"44° 02'N, 37° 04'W",Europe - U.S.A.,,0
George Harper,Steamer,1613,04/16/18,UB 80 (Max Viebeg),Damaged,Torpedoed 10 miles W1/2S of Portland Bill,,Rouen - ?,in ballast,2
George Milburn,Navy Trawler,235,07/12/17,UC 42 (Otto Heinrich Tornow),Sunk,"Mined off Waterford, 1.5m S of Dunmore Pt.",,,,11
George Pyman,Steamer,3859,05/17/17,U 49 (Richard Hartmann),Sunk,"130 miles NW of Tearaght Island. 53.00N, 13.42W per KTB","52° 55'N, 13° 56'W",Cienfuegos - Queenstown,sugar,0
Georges Andre,Sailing vessel,229,09/09/16,UB 18 (Otto Steinbrinck),Sunk,30 miles S of Bishop Rock,"50° 00'N, 6° 20'W",Bordeaux - Port Talbot,pit props 220 t.,0
Georges M.  Embiricos,Steamer,3636,10/22/16,UB 29 (Herbert Pustkuchen),Sunk,Captured and then sunk by gunfire 18 miles SE of the Lizard,"49° 50'N, 4° 40'W",Buenos Aires - Brixham,maize,
Georgian,steamer,5088,03/08/17,UB 47 (Wolfgang Steinbauer),Sunk,52 miles N Cape Sidero,"36° 13'N, 26° 05'E",,government stores,5
Georgios,Steamer,3124,04/20/17,UC 21 (Reinhold Saltzwedel),Sunk,11 miles SE of the La Vieille LH,"47° 56'N, 4° 27'W",Port Kelah - Tees,,
Georgios Antippa,steamer,1960,11/28/17,,Sunk,"6 miles S Withernsea LH, 4 miles NE Partington",,Sunderland - Roueen,,0
Georgios Markettos,Steamer,2269,10/12/17,U 57 (Carl-Siegfried Ritter von Georg),Sunk,4 miles off St. Govanâs LV,,Newport - Oran,coal,0
Giralda,Fishing vessel (smack),46,06/03/17,UC 4 (Georg Reimarus),Sunk,Mined 20 miles NE1/2E of Cromer,,,,0
Geraldine,Fishing vessel (smack),61,03/30/18,U 96 (Heinrich JeÃ),Sunk,Sunk by gunnery 10 miles E of Lambay Island,,,,5
Gerasimos,Steamer,3845,12/04/17,UB 48 (Wolfgang Steinbauer),Sunk,"off Cap de Fer, Algeria",,Karachi & Alexandria - Bone,,
Gerda,Steamer,775,12/16/16,U 46 (Alfred SaalwÃ¤chter),Sunk,off Cape Finisterre,"47° 07'N, 7° 45'W",Sevilla - London,general cargo,0
Germaine,Trawler,24,03/01/17,UC 65 (Otto Steinbrinck),Sunk,Scuttled 6m W of Berck,,Fishing,,
Germano,Trawler,236,01/26/18,U 152 (Constantin Kolbe),Sunk,Stopped and scuttled about 30 miles W of Cape Mondego,"40° 11'N, 9° 37'W",,,
Germania,Steamer,1064,06/30/17,UC 33 (Martin Schelle),Sunk,"North Sea, about 40 miles east of the Orkneys","59° 00'N, 1° 10'W",GÃ¶teborg - Hull,general cargo,0
Gerolamo Ulloa,Steamer,4283,02/26/17,UC 37 (Otto Launburg),Damaged,Torpedoed 2.5 miles E of Tigzirt,,Pensacola - Meditteranean,naphtha and benzene,
Gerona,Steamer,1328,12/06/16,UC 21 (Reinhold Saltzwedel),Sunk,Western entrance of Channel,"49° 04'N, 6° 20'W",. Oporto - Cardiff,pitprops,0
Gelsina,Navy Trawler,227,06/25/17,UC 40 (Gustav Deuerlich),Sunk,Mined off Aberdeen,"57° 07'N, 1° 58'W",Admiralty service,,5
Gertie,Steamer,257,06/13/17,UB 33 (Karl Ruprecht),prize,Skagerrak,,Gothenburg - Hull,steel and iron,
Gertrude,Fishing vessel,57,07/17/16,UB 18 (Otto Steinbrinck),Sunk,Stopped and scuttled 10 miles NNE of the Haisborough LV,,,,0
Gesu E Maria,Sailing vessel,196,07/26/17,U 33 (Gustav SieÃ),Sunk,"Stopped and scuttled N of Cape Corse, Corsica","42° 57'N, 9° 39'E",,,
Ghazee,Steamer,5084,02/04/17,U 60 (Karlgeorg Schuster),Sunk,2 miles SSW of Galley Head; beached but a total loss.,"51° 30'N, 8° 55'W",Cardiff - Port Sudan,coal,0
HMS Ghurka,Destroyer,880,02/08/17,UC 47 (Paul Hundius),Sunk,Mined 4 miles SE of Dungeness 50Â°51â10âN 00Â°55â20âE,"50° 51'N, 0° 55'E",,,74
GÃ¶tha,Sailing vessel,232,06/05/17,U 71 (Walter Gude),Sunk,Stopped and sunk betwen the Shetlands and Norway.,"61° 13'N, 2° 43'E",Ronneby -Reykjavik,timber,0
Giava,steamer,2755,02/27/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,off SW Cape Matapan,,Syracuse - Alexandria,,0
Gibel-Yedid,Steamer,949,07/13/17,U 48 (Karl Edeling),Sunk,150 miles W3/4N of Ushant,,"Newport, Mon. - Gibraltar",general cargo,0
Gibel Hamam,Steamer,647,09/14/18,UB 104 (Thomas Bieber),Sunk,15 miles S of Portland Bill,,Swansea - France,coal,21
Gibraltar,Trawler,188,04/04/17,UB 35 (Rudolf Gebeschus),Sunk,Stopped and sunk 20 miles ENE of Rattray Head,,,,0
Gigilla,Sailing vessel,120,05/11/18,UC 52 (Hellmuth von Doemming),Sunk,Straits of Messina,,,,
Gilda R.,Sailing vessel,37,10/28/16,U 21 (Otto Hersing),Sunk,SE coast of Corsica,,,,
Gimle,Steamer,1130,11/04/17,UB 35 (Karl StÃ¶ter),Sunk,4 miles SE of Scarborough,,Blyth - Caen,coal,1
Gina,Sailing vessel,443,08/12/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,Halted and scuttled 40 miles S of Porquerolles at 3:00am (KTB),"42° 50'N, 6° 50'E",Genoa - Marseille,pit props,
Ginette,Navy Trawler,272,03/20/16,UC 14 (Franz Becker),Sunk,Mined off Corfu,,,,
Gioconda,Steamer,3701,09/02/16,UB 45 (Karl Palis),Sunk,"45 miles off Trebizond (Trapezund) â towed into Trebizond, beached, and used as a landing stage.",,,,
Gioffredo Mameli,Steamer,4124,09/20/17,UB 50 (Franz Becker),Sunk,45 miles SW of Cape Spartel,"36° 05'N, 6° 15'W",Italy - U.K.,ore,
Giosue,Sailing vessel,140,04/21/17,U 32 (Kurt Hartwig),Sunk,Stopped and sunk by gunnery off Tunis,"37° 53'N, 10° 06'E",,,
Giovanni Albanesi,Sailing vessel,497,03/19/18,UB 49 (Hans von Mellenthin),Sunk,Stopped and sunk by gunnery in the Gulf of Naples,"40° 25'N, 13° 17'E",,sulphur,
Giovanni Anteri Beretta,Sailing vessel,332,11/02/16,U 34 (Claus RÃ¼cker),Sunk,E coast of Spain between Alicante and San Sebastian,"40° 29'N, 1° 00'E",,,
Giovanni Costa,Sailing vessel,102,09/30/18,UC 53 (Erich Gerth),Sunk,Gulf of Salerno,,,,
Giovanni P.,Sailing vessel,105,02/22/17,UC 38 (Alfred Klatt),Sunk,E of Solenzara,,,,
Giovanni Zambelli,Steamer,2485,09/22/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,Between Sicily and Mallorca at 7:45pm,"38° 10'N, 2° 55'E",Livorno - ?,,
Giovannina,Steamer,3030,05/03/17,UC 61 (Georg Gerth),Sunk,about 10 miles SW of Belle Ile,,Catania - Liverpool,,
Giove,Tanker,5037,04/13/18,UC 20 (Heinrich Kukat),Damaged,Torpedoed off Cape Colonne,,,,
Gippeswic,Sailing vessel,116,03/31/17,UB 32 (Max Viebeg),Sunk,Stopped and scuttled 15 miles NE of Barfleur,,Caen - Poole,in ballast,0
Giralda,Steamer,2194,01/25/18,U 152 (Constantin Kolbe),Sunk,30 miles off Cape Guardia,"41° 15'N, 9° 20'W",Huelva - Pasajes,iron pyrites,
Girda,Steamer,1824,03/13/17,UC 21 (Reinhold Saltzwedel),Sunk,off Ile dâOleron,,Glasgow - La Pallice,coal,0
Girdleness,Steamer,3018,05/02/18,U 60 (Franz GrÃ¼nert),Sunk,"Torpeded 1.5 miles NW of Cambeck Point, Bude Bay at 7:00pm","50° 45'N, 4° 41'W",Swansea - ?,patent fuel,2
Girl Bessie,Drifter,62,07/06/16,UB 23 (Ernst Voigt),Sunk,Stopped and sunk 23 miles SExE of the Tyne,,,,0
HMD Girl Eva,Navy Drifter,76,10/02/16,UC 6 (Paul GÃ¼nther),Sunk,Mined near the Elbow Buoy,,,,7
Girls Friend,Drifter,55,07/14/16,UB 39 (Werner FÃ¼rbringer),Sunk,Stopped and scuttled 21 miles E of Hartlepool,,,,0
Girolamo Ciolino,Sailing vessel,58,08/09/18,UC 22 (Eberhard Weichold),Sunk,Malta Channel,"36° 18'N, 13° 34'E",Sfax - Italy,phosphate,
Gisella,Steamer,2502,04/17/17,U 80 (Alfred von Glasenapp),Damaged,Mined E of the Island of Lewis(Barrage 35)5759N 0622W,"57° 59'N, 6° 22'W",,,1
Gisella,Steamer,2502,11/18/17,UC 77 (Reinhard von Rabenau),Sunk,"2 miles SWxS of Skokham Island, Pembrokeshire",,Cardiff - ?,coal,2
GiskÃ¶,steamer,1643,04/22/17,U 21 (Otto Hersing),Sunk,North Sea,"61° 03'N, 3° 28'E",Ãlesund - Hull,general cargo,0
Gisla,Steamer,2118,09/12/17,U 64 (Robert Moraht),Sunk,4 miles off Cape Palos,"37° 39'N, 0° 32'W",Cotonou - Marseille,palm oil in drums,0
Giuseppe,Sailing vessel,180,09/01/16,U 34 (Claus RÃ¼cker),Sunk,30 miles N of Iviza,"39° 42'N, 1° 46'E",,,
Giuseppe Accame,Steamer,3224,04/13/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,40 miles W of Cape Spartel,,Buenos Aires - Genoa,maize and general cargo,
Giuseppe B.,Sailing vessel,38,01/29/18,UC 67 (Karl Neumann),Sunk,W of Sicily,,,,
Giuseppe Ferrante,Sailing vessel,51,10/03/17,UC 35 (Hans Paul Korsch),Sunk,off Isola Gigli,,,,
Giuseppe Garibaldi,Armored Cruiser,7234,07/18/15,k.u.k. U4 (Rudolf Singule),Sunk,Torpedoed on the run back from Ragusa back to base,"42° 28'N, 18° 15'E",,,53
Giuseppe Maria,Sailing vessel,99,04/29/17,UC 37 (Otto Launburg),Sunk,Straits of Sicily,,,,
Giuseppe Marta,Sailing vessel,111,07/30/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,ca 10:00am,"36° 25'N, 12° 05'E",,,
Giuseppe Naccari,Sailing vessel,128,12/08/17,UC 53 (Kurt Albrecht),Sunk,Stopped and scuttled 19 miles N of Isola Marettimo,"38° 36'N, 12° 00'E",,,
Giuseppe O.,Sailing vessel,74,01/25/18,U 65 (Hermann von Fischel),Sunk,E of Corsica,,,,
Giuseppe Padre,Sailing vessel,184,04/04/16,U 39 (Walter Forstmann),Sunk,Strait of Sicily,"36° 55'N, 11° 20'E",,,
Giuseppe Padre  I,Sailing vessel,102,04/28/17,U 63 (Otto Schultze),Sunk,Strait of Messina,,,,
Giuseppe S.,Fishing vessel,20,06/17/17,UC 27 (Gerhard Schulz),Sunk,Gulf of Gabes,,,,
Giuseppina,Sailing vessel,223,03/28/17,U 34 (Johannes Klasing),Sunk,"off Pt. Palinuro, Calabrian coast",,,,
Giuseppina  G.,Sailing vessel,100,04/28/17,U 63 (Otto Schultze),Sunk,Strait of Messina,,,,
Giuseppina Concettina,Sailing vessel,31,09/23/17,UC 53 (Kurt Albrecht),Sunk,Tyrrenhian Sea,,,,
Giuseppina Rosa,Sailing vessel,132,03/28/17,U 34 (Johannes Klasing),Sunk,Stopped and sunk between Naples and Messina,,,,
Giuseppino M.,Sailing vessel,49,10/01/18,UC 53 (Erich Gerth),Sunk,Gulf of Salerno,,,,
Giuseppino Padre,Sailing vessel,67,07/07/18,k.u.k. U27 (Josef Holub),Sunk,,"37° 30'N, 18° 30'E",,,0
Giustina Madre,Sailing vessel,35,02/28/17,UC 35 (Ernst von Voigt),Sunk,35 miles N of Linosa,,,,
Giustizia,Steamer,1168,12/03/16,UB 29-C19 (),Sunk,Shelled and sunk off the Scillies,"49° 17'N, 7° 18'W",Lisbon - Glasgow,cork,0
Gjertrud,Steamer,593,10/01/18,UB 112 (Wilhelm Rhein),Sunk,2 miles W of the Lizard,,Newport - St. Malo,coal,11
Gjovadje,,,12/09/15,k.u.k. U4 (Rudolf Singule),prize,,"41° 40'N, 19° 25'E",,,0
Glad Tidings,Fishing vessel,15,05/30/18,UB 64 (Otto von Schrader),Sunk,Stopped and scuttled 26 miles WNW from the Calf of Man.,,,,0
Gladiateur,Fishing vessel,23,01/24/17,UC 21 (Reinhold Saltzwedel),Sunk,Bay of Biscay,,,,
Gladiator,Steamer,3359,08/18/15,U 27 (Bernd Wegener),Sunk,68 miles NxW of Bishop Rock,,. Liverpool & Cardiff - Pernambuco,general cargo,0
Gladys,Trawler,275,01/21/17,U 45 (Erich Sittenfeld),Sunk,Stopped and sunk by gunnery 40 miles NWxW of Irishtrahull,"55° 46'N, 8° 20'W",,,0
Gladys M. Hollett,Fishing vessel (sail),203,08/05/18,U 156 (Richard Feldt),Damaged,,"44° 02'N, 64° 02'W","Twillingate and Nurton, Newfoundland - New York",herrings,
Glance,Fishing vessel (smack),60,07/17/16,UB 18 (Otto Steinbrinck),Sunk,Stopped and sunk 10 miles NNE of the Haisborough LV,,,,0
Glaros,Sailing vessel,43,10/13/18,UC 23 (Hans Georg LÃ¼bbe),Sunk,"Gulf of Salonica, Aegean Sea",,,,
Glaucus,Steamer,5295,06/03/18,UB 68 (Heino von Heimburg),Sunk,Torpedoed and sunk 20 miles W of Granitola,"37° 33'N, 12° 15'E",Liverpool - Shanghai,general cargo,2
Gleam,Fishing vessel (smack),54,07/01/17,UC 63 (Karsten von Heydebreck),Sunk,Stopped and sunk 3.5 miles ENE of the South Owerâs Buoy,,,,0
HMS Glen,Q ship,112,04/20/17,UC 16 (Egon von Werner),Damaged,Damaged by gunnery in the English Channel,,,,
Glen Tanar,Steamer,817,05/03/17,UC 77 (Reinhard von Rabenau),Sunk,"Mined 1 mile NE of Girdleness, Aberdeen","57° 10'N, 2° 02'W",Seaham - Aberdeen,coal,0
Glenalmond,Steamer,2888,04/09/16,U 66 (Thorwald von Bothmer),Sunk,27 miles N of Ushant,,Bilbao - Glasgow,iron ore,0
Glenamoy,Steamer,7269,02/01/18,U 33 (Gustav SieÃ),Damaged,Torpedoed 240 miles from Alexandria,,Shanghai - London,general cargo,0
Glenarm Head,Steamer,3908,01/05/18,UB 30 (Wilhelm Rhein),Sunk,5 miles SWxS of the Brighton LV,"50° 34'N, 0° 12'W",Southampton - Boulogne,ammunition,2
Glenart Castle,Hospital ship,6824,03/01/17,UC 65 (Otto Steinbrinck),Damaged,Mined 8m N50W of Owers LV - damaged only,,,,0
Glenart Castle,Hospital ship,6824,02/26/18,UC 56 (Wilhelm Kiesewetter),Sunk,10 miles W of Lundy Island,"51° 03'N, 5° 09'W",Newport - Brest,,153
Glenartney,Steamer,5201,03/18/15,U 34 (Claus RÃ¼cker),Sunk,4 miles S of the Royal Sovereign LV,"50° 36'N, 0° 25'E",Bangkok - London,rice & meal,1
Glenbridge,Steamer,3845,11/27/17,UB 48 (Wolfgang Steinbauer),Damaged,Torpedeoed in the Straits of Sicily,,Cardiff - ?,,0
Glenby,Steamer,2196,08/17/15,U 38 (Max Valentiner),Sunk,"30 miles N of the Smalls, St Georgeâs Channel",,Cardiff - Archangelsk,coal,2
Glencarron,Steamer,5117,02/19/18,U 82 (Hans Adam),Sunk,47 miles SxE1/2E of the Lizard,"49° 20'N, 4° 57'W",Philadelphia - London,general cargo,0
Glencarse,Fishing vessel,188,04/14/15,U 6 (Reinhold Lepsius),prize,Taken as prize off Scotland and conducted to List (Sylt),,,,0
Glencliffe,Steamer,3673,04/12/17,U 52 (Hans Walther),Sunk,2.25 miles SE Tabarka Island (off Alicante),"38° 07'N, 0° 22'W",Clyde - Genoa,general cargo & coal,1
Glencluny,Steamer,4812,04/27/17,UC 67 (Karl Neumann),Sunk,"4 miles NW of Cape Sigli. 36.57N, 04.48E per KTB","36° 58'N, 4° 42'E",Bombay - Hull,general cargo,4
Glencoe,Steamer,2560,12/14/16,UC 18 (Wilhelm Kiel),Sunk,Captured and then sunk by torpedo 14 miles NNW of Ile dâYeu,"46° 54'N, 2° 38'W",Glasgow - Bordeaux,coal,0
Glendoon,Sailing vessel,1918,04/16/16,U 69 (Ernst Wilhelms),Sunk,Stopped and sunk 60 miles WSW of Bishop Rock,"49° 28'N, 7° 40'W",Iquique â Calais,nitrate,0
Glenelg,Steamer,4160,09/12/17,UC 40 (Hermann Menzel),Damaged,Mined 6 miles SSW of the Bressy LH,,Tyne - White Sea,"coal, coke, and general cargo",1
Glenesk,Sailing vessel,1369,04/25/17,U 81 (Raimund Weisbach),Sunk,Stopped and scuttled 75 miles WNW of Eagle Island,,Greenock â New York,in ballast,0
Glenford,Steamer,494,03/20/18,U 101 (Carl-Siegfried Ritter von Georg),Sunk,Captured and sunk by gunfire 24 miles E Â½ S of Rockabill,"53° 40'N, 5° 20'W",Dundalk - Dinmor,in ballast,0
Glenfoyle,Q ship,1680,09/18/17,U 43 (Waldemar Bender),Sunk,Torpedoed off SW of Ireland,"50° 46'N, 11° 04'W",,,18
Glenfruin,Steamer,3097,01/29/18,U 103 (Claus RÃ¼cker),Sunk,Irish Sea. Sunk with all hands and posted as missing.,,Seriphos - Ardrossan,iron ore,32
Glengyle,Steamer,9395,01/01/16,U 34 (Claus RÃ¼cker),Sunk,240 miles ExS of Malta,"35° 19'N, 19° 04'E",Vladivostok & Bombay - Genoa & London,"cotton, etc",10
Glenholm,Sailing vessel,1968,05/21/15,U 27 (Bernd Wegener),Sunk,Stopped and sunk 16 miles WSW of Fastnet,,Iquique - Falmouth,nitrate,0
Glenlee,Steamer,4140,05/29/15,U 41 (Claus Hansen),Sunk,67 miles SSW of Wolf Rock,,Barry - Aden,coal,0
Glenlogan,Steamer,5838,10/31/16,U 21 (Otto Hersing),Sunk,10 miles SE of Stromboli Island,"38° 46'N, 15° 22'E",Yokohama - London & Hull,general cargo,0
Glenlora,Bark,805,04/13/17,U 30 (Franz GrÃ¼nert),Sunk,Northern North Sea,"60° 36'N, 1° 53'E",StubbekÃ¸bing - Savannah GA,in ballast,0
Glenmoor,Steamer,3075,11/06/15,U 38 (Max Valentiner),Sunk,"5 miles NE Cape de Fer, Algeria","37° 06'N, 7° 12'E",Bombay - Tees,manganese ore,0
Glenogle,Steamer,7682,03/27/17,U 24 (Walter Remy),Sunk,207 miles SW of Fastnet,"48° 20'N, 12° 00'W",London - Yokohama,general cargo,0
Glenprosen,Navy Trawler,224,11/03/16,UC 18 (Wilhelm Kiel),Sunk,Mined 1m. NNE of the Cross Sands LV,,,,5
Glenravel,Steamer,1092,08/08/15,U 17 (Hans Walther),Sunk,25 miles N of Kinnaird Head,"58° 07'N, 2° 01'W",Belfast - Leith,general cargo,0
Glenstrae,Steamer,4718,07/28/17,UC 62 (Max Schmitz),Sunk,66 miles SWxS1/4S from Bishop Rock,"48° 40'N, 6° 55'W",Haiphong - Dunkerque,general cargo,1
Glimt,Sailing vessel,955,09/04/15,U 33 (Konrad Gansser),Sunk,90 miles WxS of Fastnet,"51° 37'N, 12° 05'W","Ellesmere Port â Gaspé, Canada",in ballast,0
Glitra,steamer,866,10/20/14,U 17 (Johannes Feldkirchner),Sunk,14 miles WSW Skudesnes,"59° 01'N, 4° 50'E",Grangemouth-Stavanger,coal,0
Glittertind,Steamer,717,06/07/15,U 25 (Otto WÃ¼nsche),Sunk,28 miles off Whitby,"54° 55'N, 0° 10'E",HÃ¤lle (Iddefjorden) - Hartlepool,pit props,0
Gloaming,Fishing vessel (sail),130,08/26/18,U 156 (Richard Feldt),Sunk,"Stopped and scuttled 70 miles SSW of St. Pierre, Newfoundland",,,,0
Glocliffe,Steamer,2211,01/02/16,,Damaged,Mined 5 miles NNE of the Elbow Buoy. Beached but refloated and repaied.,,Newcastle - Havre,coal,0
Glocliffe,Steamer,2211,08/19/17,UB 40 (Hans Howaldt),Sunk,9 miles ENE of Berry Head,"50° 29'N, 3° 17'W",Barry - Southampton,coal,2
Gloire,Fishing vessel,51,09/23/17,U 60 (Karlgeorg Schuster),Sunk,Stopped and scuttled about 240 miles W of Ushant,,Fishing,,0
Gloire A Jesus,Sailing vessel,60,09/25/18,U 46 (Leo Hillebrand),Sunk,Stopped and scuttled about 200 miles SW of the Scillies,"46° 13'N, 11° 19'W",,,7
Gloria,Trawler,130,08/14/15,U 17 (Hans Walther),Sunk,Stopped and sunk 55 miles ExN of Aberdeen.,"57° 25'N, 0° 51'W",,,0
Gloriosa,Fishing vessel (smack),23,08/11/17,UC 51 (Hans Galster),Sunk,Stopped and scuttled 12 miles NxE of Caldy Island,,,,0
Gloucester Castle,Hospital ship,7999,03/31/17,UB 32 (Max Viebeg),Damaged,Isle of Wight area,,,,3
Glow,Steamer,1141,07/22/17,UB 21 (Franz Walther),Sunk,"4 miles SExE of South Cheek, Robin Hood","54° 23'N, 0° 23'W",Tyne - London,coal,1
Gloxinia,Fishing vessel,145,04/01/15,U 10 (Fritz Stuhr),Sunk,Stopped and scuttled 40 miles NExE of the Tyne,,,,
Glyg,Steamer,358,05/25/17,UC 33 (Martin Schelle),Sunk,17 miles NNW of the Shetlands (Muckle Flugga),,Fraserburgh - Siglufjord,salt & empty barrels,0
Glynn,Sailing vessel,78,09/05/17,UC 42 (Hans Albrecht MÃ¼ller),Sunk,Stopped and sunk 32 miles NW of the Les Hanois LH,,Granville - Swansea,iron ore,0
Glynymel,Steamer,1394,03/12/17,UC 66 (Herbert Pustkuchen),Sunk,"Assaulted by gunnery, abandoned, and then scuttled 23 miles SxW of St. Catherineâs Point","50° 12'N, 1° 11'W",Havre - Swansea,in ballast,1
Goathland,Steamer,3044,07/04/17,U 84 (Walter Roehr),Sunk,"Torpedoed 6.32 miles SSE of Pointe du Skeul, Belle Ile Island.","47° 11'N, 3° 08'W",St. Nazaire - Gulf of Mexico,in ballast,21
Godesgenage,Fishing vessel,40,07/26/18,UB 40 (Hans Joachim Emsmann),Sunk,Stopped and scuttled near the Cross Sands LV.,,,,
GodÃ¸,Steamer,870,04/22/17,UC 41 (Kurt Bernis),Sunk,16 miles E of the Shetlands,,Levanger - London,lumber,0
Goeland,Sailing vessel,305,02/03/17,UB 18 (Claus Lafrenz),Sunk,Stopped and sunk 6 miles off Triagoz,"49° 04'N, 4° 10'W",,,
Goeland  I,Navy trawler,235,01/04/18,U 93 (Helmut Gerlach),Sunk,Sunk by gunnery off Penmarch,,Brest - Lezardrieux,,7
Golconda,Steamer,5874,06/03/16,UC 3 (GÃ¼nther Kreysern),Sunk,Mined 5 miles SExE of Alderburgh 520830N 014445E,"52° 09'N, 1° 45'E",Tees & London - Calcutta,general cargo,19
Gold Coast,Steamer,4255,04/19/17,UC 47 (Paul Hundius),Sunk,14 miles S of Mine Head,"51° 46'N, 7° 28'W",West Africa - Liverpool,general cargo,0
Gold Seeker,Fishing vessel (smack),62,03/13/17,UB 32 (Max Viebeg),Sunk,Stopped and sunk by gunfire 4 miles off the Smith Knoll Spar Buoy,,,,0
Golden Hope,Drifter,67,06/07/17,UC 45 (Hubert Aust),Sunk,Stopped and scuttled about 30 miles E of Kinnard Head,,,,0
Goldmouth,Tanker,7446,03/31/16,U 44 (Paul WagenfÃ¼hr),Sunk,60 miles WNW of Ushant,,Tarakan - Falmouth,fuel oil,0
Golo Ii,Armed boarding steamer,1380,08/22/17,UC 22 (Erich Wiesenbach),Sunk,off Corfu,"38° 53'N, 19° 20'E",Malta - Corfu,,42
Good Design,Motor fishing vessel,40,07/28/16,UB 23 (Ernst Voigt),Sunk,Stopped and sunk 15 miles NE of the Tyne,,,,0
Good Hope,Steamer,3618,10/19/17,k.u.k. U14 (Georg Ritter von Trapp),Sunk,125 miles ExS of Malta,"35° 53'N, 17° 05'E",Sifnos - Middlesbrough,iron ore,0
Goodwood,Steamer,3086,08/21/17,UC 67 (Karl Neumann),Sunk,"28 miles NWxW of Cape Bon. 37.18N, 10.34E per KTB","37° 18'N, 10° 27'E",Naples - Tunis,in ballast,0
Goosebridge,Steamer,1886,01/01/17,UC 46 (Friedrich Moecke),Sunk,10 miles WNW of Ushant,"48° 39'N, 5° 13'W",Port Talbot - Saint Nazaire,coal,
Gorgona,Sailing vessel,861,08/28/16,U 34 (Claus RÃ¼cker),Sunk,Stopped and sunk 20 miles NE of Cape Palos  ,"37° 50'N, 0° 24'W",Swansea - Savona,patent fuel,
